question,theme,sub_theme,initial_theme,code,frequency
1,utility,max instrumental rewards,maximized points,more points,9
2,utility,max instrumental rewards,maximized points,more points,3
3,utility,max instrumental rewards,maximized points,more points,3
4,utility,max instrumental rewards,maximized points,more points,2
5,utility,max instrumental rewards,maximized points,more points,1
1,utility,red instrumental costs,maximized speed,faster,31
2,utility,red instrumental costs,maximized speed,faster,8
3,utility,red instrumental costs,maximized speed,faster,10
4,utility,red instrumental costs,maximized speed,faster,4
5,utility,red instrumental costs,maximized speed,faster,4
1,utility,red instrumental costs,maximized speed,slower with helper,9
2,utility,red instrumental costs,maximized speed,slower with helper,6
3,utility,red instrumental costs,maximized speed,slower with helper,2
4,utility,red instrumental costs,maximized speed,slower with helper,1
5,utility,red instrumental costs,maximized speed,slower with helper,1
1,utility,red cognitive costs,minimized coordination,avoided coordination,5
2,utility,red cognitive costs,minimized coordination,avoided coordination,1
3,utility,red cognitive costs,minimized coordination,avoided coordination,0
4,utility,red cognitive costs,minimized coordination,avoided coordination,0
5,utility,red cognitive costs,minimized coordination,avoided coordination,1
1,utility,max instrumental rewards,maximized points,clear more boxes,8
2,utility,max instrumental rewards,maximized points,clear more boxes,17
3,utility,max instrumental rewards,maximized points,clear more boxes,2
4,utility,max instrumental rewards,maximized points,clear more boxes,1
5,utility,max instrumental rewards,maximized points,clear more boxes,2
1,utility,min task constraints,easiest way,easy,11
2,utility,min task constraints,easiest way,easy,3
3,utility,min task constraints,easiest way,easy,1
4,utility,min task constraints,easiest way,easy,1
5,utility,min task constraints,easiest way,easy,3
1,utility,min task constraints,spatial arrangement,proximity,1
2,utility,min task constraints,spatial arrangement,proximity,6
3,utility,min task constraints,spatial arrangement,proximity,1
4,utility,min task constraints,spatial arrangement,proximity,5
5,utility,min task constraints,spatial arrangement,proximity,1
1,utility,red cognitive costs,minimized decisions required,avoid partner thinking,2
2,utility,red cognitive costs,minimized decisions required,avoid partner thinking,0
3,utility,red cognitive costs,minimized decisions required,avoid partner thinking,0
4,utility,red cognitive costs,minimized decisions required,avoid partner thinking,0
5,utility,red cognitive costs,minimized decisions required,avoid partner thinking,1
1,utility,red cognitive costs,minimized coordination,avoid partner timing,6
2,utility,red cognitive costs,minimized coordination,avoid partner timing,0
3,utility,red cognitive costs,minimized coordination,avoid partner timing,0
4,utility,red cognitive costs,minimized coordination,avoid partner timing,0
5,utility,red cognitive costs,minimized coordination,avoid partner timing,0
1,utility,red instrumental costs,minimized movement,more efficient,3
